iter	Logloss
0	0.6028609248
1	0.5428620575
2	0.5018960501
3	0.4562354644
4	0.4337903044
5	0.4117519313
6	0.3941772279
7	0.3765734234
8	0.3663711736
9	0.3517369392
10	0.3454326023
11	0.3433597575
12	0.3334597313
13	0.3236336745
14	0.3139081126
15	0.3045606726
16	0.2955388415
17	0.2869363593
18	0.2833813066
19	0.2757368102
20	0.2747200526
21	0.2687348296
22	0.2651254622
23	0.2584640547
24	0.2553887839
25	0.2508095434
26	0.2472910945
27	0.245939615
28	0.2413007673
29	0.2382360713
30	0.2346783989
31	0.2307882882
32	0.2263057082
33	0.2224746511
34	0.2207119995
35	0.2168636519
36	0.2136101201
37	0.2112577884
38	0.2073263769
39	0.207311069
40	0.2054229553
41	0.2051985722
42	0.2024051204
43	0.1980064107
44	0.1958277565
45	0.19331478
46	0.1917610891
47	0.1904644366
48	0.1878339466
49	0.1863224714
