iter	Passed	Remaining
0	49	2421
1	50	1222
2	52	824
3	55	643
4	58	528
5	61	452
6	64	396
7	67	354
8	70	319
9	72	291
10	75	268
11	76	243
12	79	224
13	81	208
14	83	194
15	85	181
16	87	169
17	88	158
18	91	148
19	93	139
20	94	130
21	96	122
22	97	114
23	99	107
24	101	101
25	103	95
26	105	89
27	106	83
28	108	78
29	110	73
30	111	68
31	113	63
32	115	59
33	117	55
34	120	51
35	123	47
36	124	43
37	126	40
38	128	36
39	129	32
40	131	28
41	133	25
42	135	22
43	137	18
44	139	15
45	141	12
46	142	9
47	144	6
48	146	2
49	148	0
